,win,kills,deaths,assists,largestKillingSpree,largestMultiKill,doubleKills,tripleKills,quadraKills,pentaKills,visionScore,timeCCingOthers,turretKills,inhibitorKills,totalTimeCrowdControlDealt,champLevel,visionWardsBoughtInGame,wardsPlaced,wardsKilled,firstBloodKill,firstBloodAssist,firstTowerKill,firstTowerAssist,firstInhibitorKill,firstInhibitorAssist,perkPrimaryStyle,perkSubStyle,statPerk0,statPerk1,statPerk2,champion,spell1,spell2,gameDuration,tier,division,kda,totalDamageDealt_per_min,magicDamageDealt_per_min,physicalDamageDealt_per_min,trueDamageDealt_per_min,totalDamageDealtToChampions_per_min,magicDamageDealtToChampions_per_min,physicalDamageDealtToChampions_per_min,totalHeal_per_min,totalUnitsHealed_per_min,damageSelfMitigated_per_min,damageDealtToObjectives_per_min,damageDealtToTurrets_per_min,totalDamageTaken_per_min,magicalDamageTaken_per_min,physicalDamageTaken_per_min,goldEarned_per_min,goldSpent_per_min,totalMinionsKilled_per_min,neutralMinionsKilled_per_min,neutralMinionsKilledTeamJungle_per_min,neutralMinionsKilledEnemyJungle_per_min,lane
I Am Not Sup Orz,False,5,10,7,2,2,1,0,0,0,18,14,0,0,497,14,1,8,3,False,False,False,True,False,False,8200,8000.0,5005,5008,5002,104,11,4,1625,DIAMOND,I,1.2,5660.6,413.98,4873.51,373.07,447.69,62.66,359.45,239.11,0.04,672.11,505.88,14.92,898.89,295.24,578.7,390.42,383.08,1.66,4.69,3.43,0.48,JUNGLE
Angelayezi,False,5,6,4,3,2,1,0,0,0,13,21,0,0,42,14,0,4,4,False,False,False,False,False,False,8100,8300.0,5008,5008,5002,85,4,14,1625,DIAMOND,I,1.5,3028.1,2289.05,603.43,135.54,541.51,460.95,50.84,84.63,0.04,377.94,161.1,1.96,703.53,295.86,373.44,357.71,337.85,5.87,0.04,0.04,0.0,MIDDLE
Bunny Boy Time,False,8,8,4,3,2,1,0,0,0,16,15,1,0,139,14,1,7,3,False,False,True,False,False,False,8400,8300.0,5008,5008,5002,164,4,12,1625,DIAMOND,I,1.5,3374.55,37.62,2793.45,543.43,605.39,37.62,434.22,117.05,0.04,983.63,321.6,96.7,1100.97,450.54,629.8,367.61,363.06,4.98,0.3,0.15,0.0,TOP
DomeThunder,False,5,5,5,2,2,1,0,0,0,15,13,0,0,43,12,2,9,3,False,False,False,False,False,False,8100,8300.0,5008,5008,5002,202,7,4,1625,DIAMOND,I,2.0,3370.41,90.13,3269.83,10.45,366.35,37.81,326.95,165.45,0.15,261.6,86.92,4.76,588.7,194.99,382.12,358.71,286.15,5.39,0.3,0.18,0.0,BOTTOM
man like Harrsh,False,2,5,12,0,1,0,0,0,0,76,30,0,0,124,12,11,34,11,False,False,False,False,False,False,8100,8200.0,5007,5008,5003,432,14,4,1625,DIAMOND,I,2.8,763.35,488.6,181.99,92.68,508.06,368.79,83.37,126.76,0.18,312.7,73.26,0.0,620.68,327.18,281.69,266.29,261.23,0.59,0.0,0.0,0.0,MIDDLE
Phasuo,True,5,2,7,3,1,0,0,0,0,22,20,3,0,150,16,3,11,4,True,False,False,False,False,False,8000,8100.0,5005,5008,5001,157,4,14,1625,DIAMOND,I,6.0,6312.89,512.27,5523.29,277.33,491.82,34.26,420.92,250.63,0.04,980.57,564.33,229.03,716.75,251.93,419.59,459.21,394.15,7.68,0.78,0.59,0.15,MIDDLE
Cheekzr,True,8,6,14,3,1,0,0,0,0,57,38,3,0,665,15,11,10,5,False,False,False,False,False,True,8100,8300.0,5008,5008,5002,9,11,4,1625,DIAMOND,I,3.67,5397.97,4743.03,222.24,432.66,859.46,812.57,4.28,509.76,0.04,499.57,1021.22,67.42,972.11,283.94,621.71,441.08,386.77,0.74,4.47,3.36,0.0,JUNGLE
spaggheit stigs,True,4,4,19,2,1,0,0,0,0,62,25,2,1,158,13,7,30,12,False,False,False,False,True,False,8200,8400.0,5008,5008,5002,267,14,4,1625,DIAMOND,I,5.75,656.31,533.43,103.9,18.98,409.55,359.15,34.49,235.68,0.18,136.58,104.01,71.89,305.46,133.85,165.16,335.59,283.38,0.44,0.15,0.0,0.15,SUPPORT
Fatoríx,True,13,5,12,5,3,3,1,0,0,24,1,0,0,25,15,3,9,2,False,False,False,False,False,False,8100,8000.0,5005,5008,5002,145,7,4,1625,DIAMOND,I,5.0,5722.6,722.36,4714.97,285.27,1062.42,339.91,714.5,211.27,0.11,466.89,502.56,276.15,772.73,256.28,469.66,541.92,452.31,6.61,0.3,0.15,0.0,ADC
Kennnyy,True,4,8,6,0,1,0,0,0,0,38,26,0,0,111,15,4,11,3,False,False,False,False,False,True,8000,8200.0,5007,5008,5002,92,4,12,1625,DIAMOND,I,1.25,4443.99,6.42,4240.54,196.98,464.31,1.81,462.5,76.65,0.04,701.43,537.16,52.98,825.19,217.81,526.08,380.79,330.46,5.32,1.33,0.48,0.04,MIDDLE
